   2933 
    125 IPR001680	WD40 repeat
     11 IPR017441	Protein kinase, ATP binding site
     11 IPR014720	Double-stranded RNA-binding domain
     11 IPR013098	Immunoglobulin I-set
     11 IPR002347	Short-chain dehydrogenase/reductase SDR
     11 IPR002223	Pancreatic trypsin inhibitor Kunitz domain
     11 IPR001611	Leucine-rich repeat
     11 IPR001478	PDZ domain
     10 IPR036034	PDZ superfamily
     10 IPR017986	WD40-repeat-containing domain
     10 IPR012677	Nucleotide-binding alpha-beta plait domain superfamily
     10 IPR002167	Graves disease carrier protein
     10 IPR001609	Myosin head, motor domain
      9 IPR020818	GroES chaperonin family
      9 IPR013763	Cyclin-like
      9 IPR008271	Serine/threonine-protein kinase, active site
      9 IPR005485	Ribosomal protein L5 eukaryotic/L18 archaeal
      9 IPR004827	Basic-leucine zipper domain
      9 IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain
      9 IPR001766	Fork head domain
      9 IPR001564	Nucleoside diphosphate kinase
      9 IPR000711	ATPase, OSCP/delta subunit
      9 IPR000010	Cystatin domain
      8 IPR036852	Peptidase S8/S53 domain superfamily
      8 IPR036388	Winged helix-like DNA-binding domain superfamily
      8 IPR036259	MFS transporter superfamily
      8 IPR036116	Fibronectin type III superfamily
      8 IPR035979	RNA-binding domain superfamily
      8 IPR029061	Thiamin diphosphate-binding fold
      8 IPR029021	Protein-tyrosine phosphatase-like
      8 IPR027477	Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain superfamily
      8 IPR026298	Blc2 family
      8 IPR016135	Ubiquitin-conjugating enzyme/RWD-like
      8 IPR013201	Cathepsin propeptide inhibitor domain (I29)
      8 IPR011993	PH-like domain superfamily
      8 IPR011989	Armadillo-like helical
      8 IPR011603	2-oxoglutarate dehydrogenase E1 component
      8 IPR005475	Transketolase-like, pyrimidine-binding domain
      8 IPR002884	P domain
      8 IPR001951	Histone H4
      8 IPR001849	Pleckstrin homology domain
      8 IPR001356	Homeobox domain
      8 IPR001314	Peptidase S1A, chymotrypsin family
      8 IPR001007	VWFC domain
      8 IPR000850	Adenylate kinase/UMP-CMP kinase
      8 IPR000832	GPCR, family 2, secretin-like
      8 IPR000421	Coagulation factor 5/8 C-terminal domain
      7 IPR043204	Basigin-like
      7 IPR036291	NAD(P)-binding domain superfamily
      7 IPR029071	Ubiquitin-like domain superfamily
      7 IPR018097	EGF-like calcium-binding, conserved site
      7 IPR013026	Tetratricopeptide repeat-containing domain
      7 IPR008930	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid
      7 IPR008160	Collagen triple helix repeat
      7 IPR003644	Na-Ca exchanger/integrin-beta4
      7 IPR003492	Batten's disease protein Cln3
      7 IPR002157	Cobalamin (vitamin B12)-binding protein
      7 IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
      7 IPR002041	Ran GTPase
      7 IPR001791	Laminin G domain
      7 IPR001507	Zona pellucida domain
      6 IPR038765	Papain-like cysteine peptidase superfamily
      6 IPR036869	Chaperone J-domain superfamily
      6 IPR036669	Amyloidogenic glycoprotein, copper-binding domain superfamily
      6 IPR036612	K Homology domain, type 1 superfamily
      6 IPR036597	Fido-like domain superfamily
      6 IPR036454	Amyloidogenic glycoprotein, heparin-binding domain superfamily
      6 IPR036176	E2 domain superfamily
      6 IPR036140	Profilin superfamily
      6 IPR035976	Sushi/SCR/CCP superfamily
      6 IPR029158	Stimulator of interferon genes protein
      6 IPR029030	Caspase-like domain superfamily
      6 IPR027267	AH/BAR domain superfamily
      6 IPR024329	Amyloidogenic glycoprotein, E2 domain
      6 IPR024079	Metallopeptidase, catalytic domain superfamily
      6 IPR020479	Homeobox domain, metazoa
      6 IPR015919	Cadherin-like superfamily
      6 IPR015341	Glycoside hydrolase family 38, central domain
      6 IPR014729	Rossmann-like alpha/beta/alpha sandwich fold
      6 IPR011992	EF-hand domain pair
      6 IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like
      6 IPR009146	Groucho/transducin-like enhancer
      6 IPR008154	Amyloidogenic glycoprotein, extracellular
      6 IPR003812	Fido domain
      6 IPR003591	Leucine-rich repeat, typical subtype
      6 IPR003307	W2 domain
      6 IPR002398	Peptidase C14 family
      6 IPR002350	Kazal domain
      6 IPR002320	Threonine-tRNA ligase, class IIa
      6 IPR002113	ADP/ATP carrier protein, eukaryotic type
      6 IPR002108	Actin-depolymerising factor homology domain
      6 IPR001806	Small GTPase
      6 IPR001628	Zinc finger, nuclear hormone receptor-type
      6 IPR001523	Paired domain
      6 IPR001382	Glycoside hydrolase family 47
      6 IPR001309	Peptidase C14,  p20 domain
      6 IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase
      6 IPR000889	Glutathione peroxidase
      6 IPR000539	Frizzled/Smoothened, transmembrane domain
      6 IPR000175	Sodium:neurotransmitter symporter
      6 IPR000058	Zinc finger, AN1-type
      5 IPR036915	Cyclin-like superfamily
      5 IPR036390	Winged helix DNA-binding domain superfamily
      5 IPR036020	WW domain superfamily
      5 IPR035892	C2 domain superfamily
      5 IPR033139	Peptidase family C14A, cysteine active site
      5 IPR032675	Leucine-rich repeat domain superfamily
      5 IPR029058	Alpha/Beta hydrolase fold
      5 IPR029044	Nucleotide-diphospho-sugar transferases
      5 IPR025661	Cysteine peptidase, asparagine active site
      5 IPR025660	Cysteine peptidase, histidine active site
      5 IPR024872	HEXIM
      5 IPR019749	Band 4.1 domain
      5 IPR018247	EF-Hand 1, calcium-binding site
      5 IPR016021	MIF4G-like domain superfamily
      5 IPR009030	Growth factor receptor cysteine-rich domain superfamily
      5 IPR006575	RWD domain
      5 IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
      5 IPR004000	Actin family
      5 IPR002138	Peptidase C14, caspase non-catalytic subunit p10
      5 IPR001848	Ribosomal protein S10
      5 IPR001752	Kinesin motor domain
      5 IPR001683	Phox homology
      5 IPR001374	R3H domain
      5 IPR001211	Phospholipase A2
      5 IPR001148	Alpha carbonic anhydrase domain
      5 IPR000814	TATA-box binding protein
      5 IPR000569	HECT domain
      5 IPR000315	B-box-type zinc finger
      4 IPR042179	Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal domain superfamily
      4 IPR039417	Papain-like cysteine endopeptidase
      4 IPR037099	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal domain superfamily
      4 IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily
      4 IPR036873	Rhodanese-like domain superfamily
      4 IPR036871	PX domain superfamily
      4 IPR036867	R3H domain superfamily
      4 IPR036850	Nucleoside diphosphate kinase-like domain superfamily
      4 IPR036834	Blc2-like superfamily
      4 IPR036539	Cytochrome c oxidase, subunit VIIa superfamily
      4 IPR036409	Class II aldolase/adducin N-terminal domain superfamily
      4 IPR036398	Alpha carbonic anhydrase domain superfamily
      4 IPR035896	AN1-like Zinc finger
      4 IPR034907	Nucleoside diphosphate kinase-like domain
      4 IPR034035	Astacin-like metallopeptidase domain
      4 IPR029787	Nucleotide cyclase
      4 IPR029034	Cystine-knot cytokine
      4 IPR029006	ADF-H/Gelsolin-like domain superfamily
      4 IPR028565	Mu homology domain
      4 IPR024983	CHAT domain
      4 IPR024130	DAP1/DAPL1
      4 IPR020552	Inositol monophosphatase, lithium-sensitive
      4 IPR020454	Diacylglycerol/phorbol-ester binding
      4 IPR017904	ADF/Cofilin
      4 IPR017452	GPCR, rhodopsin-like, 7TM
      4 IPR016346	Guanine nucleotide-binding protein, beta subunit
      4 IPR015939	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal
      4 IPR015424	Pyridoxal phosphate-dependent transferase
      4 IPR015422	Pyridoxal phosphate-dependent transferase domain 1
      4 IPR015421	Pyridoxal phosphate-dependent transferase, major domain
      4 IPR013766	Thioredoxin domain
      4 IPR013568	SEFIR domain
      4 IPR011705	BTB/Kelch-associated
      4 IPR011013	Galactose mutarotase-like domain superfamily
      4 IPR010394	5-nucleotidase
      4 IPR010164	Ornithine aminotransferase
      4 IPR009072	Histone-fold
      4 IPR008978	HSP20-like chaperone
      4 IPR008937	Ras-like guanine nucleotide exchange factor
      4 IPR008197	WAP-type 'four-disulfide core' domain
      4 IPR007052	CS domain
      4 IPR006553	Leucine-rich repeat, cysteine-containing subtype
      4 IPR006026	Peptidase, metallopeptidase
      4 IPR005819	Linker histone H1/H5
      4 IPR005615	Glutathione synthase
      4 IPR005225	Small GTP-binding protein domain
      4 IPR004313	Acireductone dioxygenase ARD family
      4 IPR004092	Mbt repeat
      4 IPR003953	FAD-dependent oxidoreductase 2, FAD binding domain
      4 IPR003084	Histone deacetylase
      4 IPR002208	SecY/SEC61-alpha family
      4 IPR002172	Low-density lipoprotein (LDL) receptor class A repeat
      4 IPR002110	Ankyrin repeat
      4 IPR001715	Calponin homology domain
      4 IPR001494	Importin-beta, N-terminal domain
      4 IPR001107	Band 7 domain
      4 IPR001046	NRAMP family
      4 IPR000760	Inositol monophosphatase-like
      4 IPR000716	Thyroglobulin type-1
      4 IPR000626	Ubiquitin-like domain
      4 IPR000301	Tetraspanin
      4 IPR000210	BTB/POZ domain
      4 IPR000209	Peptidase S8/S53 domain
      4 IPR000169	Cysteine peptidase, cysteine active site
      3 IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold
      3 IPR043198	Cyclin/Cyclin-like subunit Ssn8
      3 IPR041147	Glycosyl hydrolases family 38, C-terminal beta sandwich domain
      3 IPR040198	Fido domain-containing protein
      3 IPR039808	Cadherin
      3 IPR038623	Stimulator of interferon genes protein, C-terminal domain superfamily
      3 IPR037094	Glycoside hydrolase family 38, central domain superfamily
      3 IPR036723	Alpha-catenin/vinculin-like superfamily
      3 IPR036282	Glutathione S-transferase, C-terminal domain superfamily
      3 IPR036134	Cryptochrome/DNA photolyase, FAD-binding domain-like superfamily
      3 IPR036056	Fibrinogen-like, C-terminal
      3 IPR036028	SH3-like domain superfamily
      3 IPR035983	HECT, E3 ligase catalytic domain
      3 IPR031717	Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal
      3 IPR031248	E3 ubiquitin-protein ligase RNF213
      3 IPR028995	Glycoside hydrolase families 57/38, central domain superfamily
      3 IPR028460	Tyramine beta-hydroxylase/Dopamine beta-hydroxylase
      3 IPR027413	GroEL-like equatorial domain superfamily
      3 IPR026847	Vacuolar protein sorting-associated protein 13
      3 IPR023247	Dynein-f, intermediate chain IC97/Casc1-like
      3 IPR020837	Fibrinogen, conserved site
      3 IPR020635	Tyrosine-protein kinase, catalytic domain
      3 IPR019744	Amyloidogenic glycoprotein,  copper-binding domain conserved site
      3 IPR019543	Beta-amyloid precursor protein C-terminal
      3 IPR018114	Serine proteases, trypsin family, histidine active site
      3 IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)
      3 IPR017981	GPCR, family 2-like
      3 IPR017972	Cytochrome P450, conserved site
      3 IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain
      3 IPR015849	Amyloidogenic glycoprotein, heparin-binding
      3 IPR014806	Ubiquitin-fold modifier-conjugating enzyme 1
      3 IPR014710	RmlC-like jelly roll fold
      3 IPR014038	Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain
      3 IPR013780	Glycosyl hydrolase, all-beta
      3 IPR011701	Major facilitator superfamily
      3 IPR011682	Glycosyl hydrolase family 38, C-terminal
      3 IPR011333	SKP1/BTB/POZ domain superfamily
      3 IPR011178	Amyloidogenic glycoprotein, copper-binding
      3 IPR010226	NADH-quinone oxidoreductase, chain I
      3 IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily
      3 IPR009057	Homeobox-like domain superfamily
      3 IPR009003	Peptidase S1, PA clan
      3 IPR008974	TRAF-like
      3 IPR008936	Rho GTPase activation protein
      3 IPR008628	Golgi phosphoprotein 3-like
      3 IPR006593	Cytochrome b561/ferric reductase transmembrane
      3 IPR006461	PLAC8 motif-containing protein
      3 IPR006020	PTB/PI domain
      3 IPR006015	Universal stress protein A family
      3 IPR005821	Ion transport domain
      3 IPR005797	Cytochrome b/b6, N-terminal
      3 IPR005375	Ubiquitin-fold modifier 1
      3 IPR005123	Oxoglutarate/iron-dependent dioxygenase
      3 IPR005101	Cryptochrome/DNA photolyase, FAD-binding domain
      3 IPR004547	Glucosamine-6-phosphate isomerase
      3 IPR004367	Cyclin, C-terminal domain
      3 IPR004328	BRO1 domain
      3 IPR003959	ATPase, AAA-type, core
      3 IPR003930	Potassium channel, calcium-activated, BK, beta subunit
      3 IPR003886	NIDO domain
      3 IPR003613	U box domain
      3 IPR003325	TerD domain
      3 IPR002715	Nascent polypeptide-associated complex NAC domain
      3 IPR002579	Peptide methionine sulphoxide reductase MrsB
      3 IPR002194	Chaperonin TCP-1, conserved site
      3 IPR002004	Polyadenylate-binding protein/Hyperplastic disc protein
      3 IPR001932	PPM-type phosphatase domain
      3 IPR001895	Ras guanine-nucleotide exchange factors catalytic domain
      3 IPR001810	F-box domain
      3 IPR001723	Nuclear hormone receptor
      3 IPR001607	Zinc finger, UBP-type
      3 IPR001017	Dehydrogenase, E1 component
      3 IPR000956	Stathmin family
      3 IPR000885	Fibrillar collagen, C-terminal
      3 IPR000697	WH1/EVH1 domain
      3 IPR000644	CBS domain
      3 IPR000630	Ribosomal protein S8
      3 IPR000591	DEP domain
      3 IPR000519	P-type trefoil domain
      3 IPR000408	Regulator of chromosome condensation, RCC1
      3 IPR000299	FERM domain
      3 IPR000198	Rho GTPase-activating protein domain
      3 IPR000197	Zinc finger, TAZ-type
      3 IPR000159	Ras-associating (RA) domain
      3 IPR000095	CRIB domain
      2 IPR043472	Macro domain-like
      2 IPR042099	AMP-dependent synthetase-like superfamily
      2 IPR042097	Aminopeptidase N-like , N-terminal
      2 IPR041679	DNA2/NAM7 helicase-like, C-terminal
      2 IPR041677	DNA2/NAM7 helicase, helicase domain
      2 IPR041555	Macroglobulin domain MG3
      2 IPR040386	Transcriptional repressor p66
      2 IPR039659	Transcription elongation factor SPT5
      2 IPR039465	Interleukin-17 receptor-like
      2 IPR039373	Glutamate carboxypeptidase 2-like
      2 IPR039297	Cytochrome c oxidase subunit VII
      2 IPR039261	Ferredoxin-NADP reductase (FNR), nucleotide-binding domain
      2 IPR037188	Ribosome maturation protein Sdo1/SBDS, central domain superfamily
      2 IPR037069	Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily
      2 IPR036961	Kinesin motor domain superfamily
      2 IPR036872	CH domain superfamily
      2 IPR036860	SH2 domain superfamily
      2 IPR036857	Thyroglobulin type-1 superfamily
      2 IPR036838	Ribosomal protein S10 domain superfamily
      2 IPR036812	NADP-dependent oxidoreductase domain superfamily
      2 IPR036811	Ubiquinol-cytochrome C reductase hinge domain superfamily
      2 IPR036802	ATP:guanido phosphotransferase, N-terminal domain superfamily
      2 IPR036770	Ankyrin repeat-containing domain superfamily
      2 IPR036757	Transferrin receptor-like, dimerisation domain superfamily
      2 IPR036621	Anticodon-binding domain superfamily
      2 IPR036610	PEBP-like superfamily
      2 IPR036543	Guanylate-binding protein, C-terminal domain superfamily
      2 IPR036464	Rubisco LSMT, substrate-binding domain superfamily
      2 IPR036457	PPM-type phosphatase domain superfamily
      2 IPR036444	Phospholipase A2 domain superfamily
      2 IPR036427	Bromodomain-like superfamily
      2 IPR036423	Superoxide dismutase-like, copper/zinc binding domain superfamily
      2 IPR036397	Ribonuclease H superfamily
      2 IPR036389	Ribonuclease III, endonuclease domain superfamily
      2 IPR036356	Endoplasmic reticulum resident protein 29, C-terminal domain superfamily
      2 IPR036236	Zinc finger C2H2 superfamily
      2 IPR036168	AP-2 complex subunit mu, C-terminal superfamily
      2 IPR036055	LDL receptor-like superfamily
      2 IPR036026	Seven-hairpin glycosidases
      2 IPR036025	tRNA-splicing ligase RtcB-like superfamily
      2 IPR036013	Band 7/SPFH domain superfamily
      2 IPR035965	PAS domain superfamily
      2 IPR035902	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain superfamily
      2 IPR035899	Dbl homology (DH) domain superfamily
      2 IPR035898	TAZ domain superfamily
      2 IPR035810	Phosphatidylethanolamine-binding protein, eukaryotic
      2 IPR035500	Nuclear hormone receptor-like domain superfamily
      2 IPR033952	Stimulator of interferon genes protein, C-terminal
      2 IPR033640	Fatty acyl-CoA reductase, C-terminal
      2 IPR033116	Serine proteases, trypsin family, serine active site
      2 IPR033010	The WD repeat Cdc20/Fizzy family
      2 IPR032727	Flagellar C1a complex subunit C1a-32
      2 IPR030659	SecY conserved site
      2 IPR030379	Septin-type guanine nucleotide-binding (G) domain
      2 IPR030224	Sla2 family
      2 IPR029774	Centriole, cilia and spindle-associated protein
      2 IPR029651	Ectopic P granules protein 5
      2 IPR029309	Calcium-responsive transcription factor
      2 IPR029057	Phosphoribosyltransferase-like
      2 IPR029033	Histidine phosphatase superfamily
      2 IPR029000	Cyclophilin-like domain superfamily
      2 IPR028422	GREB1
      2 IPR028108	Protein of unknown function DUF4505
      2 IPR027963	Meiosis-specific coiled-coil domain-containing protein MEIOC
      2 IPR027817	Costars domain
      2 IPR027640	Kinesin-like protein
      2 IPR027496	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes
      2 IPR027486	Ribosomal protein S10 domain
      2 IPR027409	GroEL-like apical domain superfamily
      2 IPR027244	Vacuolar membrane-associated protein Iml1
      2 IPR027059	Coatomer delta subunit
      2 IPR026983	Dynein heavy chain
      2 IPR026919	Adhesion G-protein coupled receptor V1
      2 IPR026750	Protein N-terminal asparagine amidohydrolase
      2 IPR026541	MRG domain
      2 IPR026157	Leucine zipper transcription factor-like protein 1
      2 IPR026082	ABC transporter A
      2 IPR026015	F1F0 ATP synthase OSCP/delta subunit, N-terminal domain superfamily
      2 IPR025110	AMP-binding enzyme, C-terminal domain
      2 IPR024862	Transient receptor potential cation channel subfamily V
      2 IPR024548	Copper type II ascorbate-dependent monooxygenase, C-terminal
      2 IPR023796	Serpin domain
      2 IPR023574	Ribosomal protein L4 domain superfamily
      2 IPR023393	START-like domain superfamily
      2 IPR023201	SecY domain superfamily
      2 IPR023005	Nucleoside diphosphate kinase, active site
      2 IPR022413	ATP:guanido phosphotransferase, N-terminal
      2 IPR021850	Symplekin/Pta1
      2 IPR021629	Mediator complex, subunit Med23
      2 IPR021190	Peptidase M10A
      2 IPR021149	Oligosaccharyl transferase complex, subunit OST3/OST6
      2 IPR021133	HEAT, type 2
      2 IPR021109	Aspartic peptidase domain superfamily
      2 IPR020904	Short-chain dehydrogenase/reductase, conserved site
      2 IPR020901	Proteinase inhibitor I2, Kunitz, conserved site
      2 IPR020894	Cadherin conserved site
      2 IPR020726	Apoptosis regulator, Bcl-2, BH2 motif, conserved site
      2 IPR020683	Ankyrin repeat-containing domain
      2 IPR020568	Ribosomal protein S5 domain 2-type fold
      2 IPR019787	Zinc finger, PHD-finger
      2 IPR019748	FERM central domain
      2 IPR019559	Cullin protein, neddylation domain
      2 IPR019394	Testis-specific protein TEX28/transmembrane and coiled-coil domains protein
      2 IPR019381	Phosphofurin acidic cluster sorting protein 1
      2 IPR019366	Clusterin-associated protein-1
      2 IPR019357	Short coiled-coil protein
      2 IPR018979	FERM, N-terminal
      2 IPR018940	Elongation factor 1 beta central acidic region, eukaryote
      2 IPR018797	FAM98
      2 IPR018614	Keratinocyte-associated protein 2
      2 IPR017983	GPCR, family 2, secretin-like, conserved site
      2 IPR017978	GPCR family 3, C-terminal
      2 IPR017970	Homeobox, conserved site
      2 IPR017946	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily
      2 IPR017937	Thioredoxin, conserved site
      2 IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
      2 IPR017850	Alkaline-phosphatase-like, core domain superfamily
      2 IPR016641	Nascent polypeptide-associated complex subunit alpha
      2 IPR016201	PSI domain
      2 IPR016194	SPOC-like, C-terminal domain superfamily
      2 IPR016158	Cullin homology domain
      2 IPR016130	Protein-tyrosine phosphatase, active site
      2 IPR016090	Phospholipase A2 domain
      2 IPR016039	Thiolase-like
      2 IPR015894	Guanylate-binding protein, N-terminal
      2 IPR015819	Lipid transport protein, beta-sheet shell
      2 IPR015727	Protein kinase C mu-related
      2 IPR015433	Phosphatidylinositol kinase
      2 IPR014887	HIF-1 alpha, transactivation domain, C-terminal
      2 IPR014848	Reduced growth phenotype protein 1
      2 IPR014721	Ribosomal protein S5 domain 2-type fold, subgroup
      2 IPR014186	S-formylglutathione hydrolase
      2 IPR014001	Helicase superfamily 1/2, ATP-binding domain
      2 IPR013866	Sphingolipid delta4-desaturase, N-terminal
      2 IPR013809	ENTH  domain
      2 IPR013786	Acyl-CoA dehydrogenase/oxidase, N-terminal
      2 IPR013785	Aldolase-type TIM barrel
      2 IPR013761	Sterile alpha motif/pointed domain superfamily
      2 IPR013256	Chromatin SPT2
      2 IPR013177	Domain of unknown function DUF1713
      2 IPR013025	Ribosomal protein L25/L23
      2 IPR012716	T-complex protein 1, beta subunit
      2 IPR012506	YhhN-like
      2 IPR012341	Six-hairpin glycosidase-like superfamily
      2 IPR012340	Nucleic acid-binding, OB-fold
      2 IPR012337	Ribonuclease H-like superfamily
      2 IPR012317	Poly(ADP-ribose) polymerase, catalytic domain
      2 IPR012301	Malic enzyme, N-terminal domain
      2 IPR012295	TBP domain superfamily
      2 IPR011679	Endoplasmic reticulum resident protein 29, C-terminal
      2 IPR011545	DEAD/DEAH box helicase domain
      2 IPR011539	Rel homology domain (RHD), DNA-binding domain
      2 IPR011524	SARAH domain
      2 IPR011388	Sphingolipid delta4-desaturase
      2 IPR011249	Metalloenzyme, LuxS/M16 peptidase-like
      2 IPR011051	RmlC-like cupin domain superfamily
      2 IPR011032	GroES-like superfamily
      2 IPR011030	Lipovitellin-phosvitin complex, superhelical domain
      2 IPR011029	Death-like domain superfamily
      2 IPR010920	LSM domain superfamily
      2 IPR010303	CREB-binding protein/p300, atypical RING domain
      2 IPR009976	Exocyst complex component Sec10-like
      2 IPR009091	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
      2 IPR009060	UBA-like superfamily
      2 IPR009011	Mannose-6-phosphate receptor binding domain superfamily
      2 IPR009001	Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal
      2 IPR009000	Translation protein, beta-barrel domain superfamily
      2 IPR008996	Cytokine IL1/FGF
      2 IPR008993	Tissue inhibitor of metalloproteinases-like, OB-fold
      2 IPR008977	PHM/PNGase F domain superfamily
      2 IPR008971	HSP40/DnaJ peptide-binding
      2 IPR008952	Tetraspanin, EC2 domain superfamily
      2 IPR008942	ENTH/VHS
      2 IPR008883	Ubiquitin E2 variant, N-terminal
      2 IPR008805	RIB43A
      2 IPR008603	Dynactin subunit 4
      2 IPR008564	Golgi apparatus membrane protein TVP23-like
      2 IPR008559	Calcium load-activated calcium channel
      2 IPR008409	Pre-mRNA-splicing factor SPF27
      2 IPR008380	HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase
      2 IPR008339	Dishevelled family
      2 IPR008145	Guanylate kinase/L-type calcium channel beta subunit
      2 IPR008144	Guanylate kinase-like domain
      2 IPR007914	Uncharacterised protein family UPF0193
      2 IPR007783	Eukaryotic translation initiation factor 3 subunit D
      2 IPR007763	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
      2 IPR007741	Ribosomal protein/NADH dehydrogenase domain
      2 IPR007266	Endoplasmic reticulum oxidoreductin 1
      2 IPR007258	Vps52
      2 IPR007255	Conserved oligomeric Golgi complex subunit 8
      2 IPR007144	Small-subunit processome, Utp11
      2 IPR007122	Villin/Gelsolin
      2 IPR007111	NACHT nucleoside triphosphatase
      2 IPR007062	Protein phosphatase inhibitor 2 (IPP-2)
      2 IPR007000	Phospholipase B-like
      2 IPR006822	Coatomer, epsilon subunit
      2 IPR006802	Radial spokehead-like protein
      2 IPR006708	Pex19 protein
      2 IPR006671	Cyclin, N-terminal
      2 IPR006634	TRAM/LAG1/CLN8 homology domain
      2 IPR006571	TLDc domain
      2 IPR006214	Bax inhibitor 1-related
      2 IPR006111	Archaeal RpoK/eukaryotic RPB6 RNA polymerase subunit
      2 IPR006110	RNA polymerase, subunit omega/K/RPB6
      2 IPR006096	Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal
      2 IPR006095	Glutamate/phenylalanine/leucine/valine dehydrogenase
      2 IPR006089	Acyl-CoA dehydrogenase, conserved site
      2 IPR006050	DNA photolyase, N-terminal
      2 IPR006034	Asparaginase/glutaminase-like
      2 IPR005818	Linker histone H1/H5, domain H15
      2 IPR005788	Disulphide isomerase
      2 IPR005522	Inositol polyphosphate kinase
      2 IPR005373	Uncharacterised protein family UPF0183
      2 IPR005024	Snf7 family
      2 IPR005018	DOMON domain
      2 IPR005011	SNU66/SART1 family
